trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 1.0, 'e': 0.9994559873895001}",20,0,-108.61744738525674,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
43,False,"{'a': 1.0, 'e': 0.9994297761214869}",30,0,-91.44301841022288,"{0: 17, 1: 7, 2: 4, 3: 2, 4: 0}",0
44,False,"{'a': 1.0, 'e': 0.9994029483549729}",30,0,-160.18230544419688,"{0: 19, 1: 2, 2: 6, 3: 0, 4: 3}",0
45,False,"{'a': 1.0, 'e': 0.999375504106507}",25,0,-181.09855240998996,"{0: 16, 1: 2, 2: 2, 3: 2, 4: 3}",0
46,False,"{'a': 1.0, 'e': 0.9993474433930183}",20,0,-150.03311547275484,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
47,False,"{'a': 1.0, 'e': 0.9993187662318158}",25,0,-84.27278600082795,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
48,False,"{'a': 1.0, 'e': 0.9992894726405892}",25,0,-90.86834147736873,"{0: 14, 1: 6, 2: 4, 3: 0, 4: 1}",0
49,False,"{'a': 1.0, 'e': 0.9992595626374083}",25,0,-57.402998416496565,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
50,False,"{'a': 1.0, 'e': 0.9992290362407229}",20,0,-138.7344389464834,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",0
51,False,"{'a': 1.0, 'e': 0.9991978934693634}",25,0,-171.30518562270368,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0
52,False,"{'a': 1.0, 'e': 0.9991661343425401}",20,0,-172.1522352314981,"{0: 7, 1: 3, 2: 8, 3: 0, 4: 2}",0
53,False,"{'a': 1.0, 'e': 0.9991337588798437}",20,0,-203.02289802869805,"{0: 9, 1: 2, 2: 4, 3: 2, 4: 3}",0
54,False,"{'a': 1.0, 'e': 0.999100767101245}",25,0,-53.2317561614179,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",0
55,False,"{'a': 1.0, 'e': 0.999067159027095}",25,0,-157.3136691663058,"{0: 15, 1: 0, 2: 7, 3: 1, 4: 2}",0
56,False,"{'a': 1.0, 'e': 0.9990329346781247}",20,0,-83.59060851086255,"{0: 10, 1: 1, 2: 9, 3: 0, 4: 0}",0
57,False,"{'a': 1.0, 'e': 0.9989980940754456}",25,0,-121.28321226034522,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
58,False,"{'a': 1.0, 'e': 0.9989626372405491}",20,0,-259.2412931510848,"{0: 6, 1: 3, 2: 5, 3: 2, 4: 4}",0
59,False,"{'a': 1.0, 'e': 0.9989265641953067}",25,0,-82.58276337071288,"{0: 19, 1: 1, 2: 2, 3: 2, 4: 1}",0
60,False,"{'a': 1.0, 'e': 0.99888987496197}",20,0,-112.50041190636645,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
61,False,"{'a': 1.0, 'e': 0.9988525695631708}",20,0,-97.96426738982119,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
62,False,"{'a': 1.0, 'e': 0.9988146480219211}",30,0,-311.6698436951794,"{0: 13, 1: 4, 2: 7, 3: 0, 4: 6}",0
63,False,"{'a': 1.0, 'e': 0.9987761103616126}",20,0,-102.37464306831714,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
64,False,"{'a': 1.0, 'e': 0.9987369566060175}",30,0,-303.31711542931004,"{0: 11, 1: 2, 2: 12, 3: 1, 4: 4}",0
65,False,"{'a': 1.0, 'e': 0.9986971867792875}",20,0,-41.85060659750091,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
66,False,"{'a': 1.0, 'e': 0.998656800905955}",25,0,-138.28852822626783,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 2}",0
67,False,"{'a': 1.0, 'e': 0.9986157990109317}",20,0,-72.88126077758929,"{0: 9, 1: 4, 2: 7, 3: 0, 4: 0}",0
68,False,"{'a': 1.0, 'e': 0.9985741811195098}",30,0,-104.05105817970305,"{0: 18, 1: 5, 2: 6, 3: 0, 4: 1}",0
69,False,"{'a': 1.0, 'e': 0.9985319472573612}",30,0,-178.65301040692748,"{0: 18, 1: 4, 2: 4, 3: 1, 4: 3}",0
70,False,"{'a': 1.0, 'e': 0.9984890974505379}",20,0,-51.66320854625488,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
71,False,"{'a': 1.0, 'e': 0.998445631725472}",30,0,-143.44649969178334,"{0: 17, 1: 5, 2: 6, 3: 0, 4: 2}",0
72,False,"{'a': 1.0, 'e': 0.998401550108975}",30,0,-192.0274205741901,"{0: 13, 1: 7, 2: 7, 3: 1, 4: 2}",0
73,False,"{'a': 1.0, 'e': 0.998356852628239}",25,0,-138.00266092386101,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",0
74,False,"{'a': 1.0, 'e': 0.9983115393108354}",25,0,-161.95520463035734,"{0: 13, 1: 3, 2: 4, 3: 4, 4: 1}",0
75,False,"{'a': 1.0, 'e': 0.9982656101847159}",25,0,-193.82349663064537,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 3}",0
76,False,"{'a': 1.0, 'e': 0.9982190652782118}",25,0,-90.523752900806,"{0: 16, 1: 1, 2: 6, 3: 2, 4: 0}",0
77,False,"{'a': 1.0, 'e': 0.9981719046200344}",30,0,-173.3974020541818,"{0: 20, 1: 1, 2: 5, 3: 1, 4: 3}",0
78,False,"{'a': 1.0, 'e': 0.9981241282392745}",20,0,-61.92462999559947,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
79,False,"{'a': 1.0, 'e': 0.9980757361654035}",20,0,-88.85003714289844,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
80,False,"{'a': 1.0, 'e': 0.9980267284282716}",20,0,-157.4678046476709,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
81,False,"{'a': 1.0, 'e': 0.9979771050581093}",20,8,-13.698521662375535,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
82,False,"{'a': 1.0, 'e': 0.997926866085527}",20,4,-106.01067057432937,"{0: 10, 1: 1, 2: 2, 3: 1, 4: 2}",1
83,False,"{'a': 1.0, 'e': 0.9978760115415145}",25,0,-122.06303390666892,"{0: 15, 1: 0, 2: 8, 3: 1, 4: 1}",0
84,False,"{'a': 1.0, 'e': 0.9978245414574415}",20,9,-42.993963676421984,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
85,False,"{'a': 1.0, 'e': 0.9977724558650571}",20,0,-112.26535708226632,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
86,False,"{'a': 1.0, 'e': 0.9977197547964907}",20,0,-105.78103871816013,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
87,False,"{'a': 1.0, 'e': 0.9976664382842505}",25,0,-145.99757473137194,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
88,False,"{'a': 1.0, 'e': 0.9976125063612252}",20,12,-1.1859893920369533,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
89,False,"{'a': 1.0, 'e': 0.9975579590606826}",20,0,-180.6481637127302,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 4}",0
90,False,"{'a': 1.0, 'e': 0.99750279641627}",35,11,-107.5420194495316,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 1}",1
